agi_bin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
INT2015,0.9259,0.4506,0.9235,0.8736,0.9186,1.0096,0.9592,0.8658,0.8900,0.9169,0.9291,0.9031,0.9353,0.9305,0.9278,0.9695,0.9241,0.9484,1.6452
INT2016,0.9023,0.9003,1.0429,1.0134,1.1401,0.9831,0.8602,1.1947,0.9220,0.9682,0.9900,0.9762,0.9703,1.0112,1.1548,1.0983,1.0745,1.0679,0.9887
INT2017,1.0583,0.9117,0.9547,0.7237,0.7634,0.8372,0.9430,0.7007,0.8444,0.8895,0.8601,0.9479,1.0337,1.0749,1.0125,1.0101,1.0177,1.1200,1.1211
INT2018,0.7935,0.7310,0.8355,0.8759,0.9550,0.9777,1.0008,0.9268,0.9697,0.9347,1.0122,1.0430,1.0354,1.0293,0.9563,1.0089,0.9944,1.0319,1.0438
INT2019,1.1684,0.9573,0.9788,0.9867,0.9275,0.9997,1.0202,1.0086,1.1094,1.0347,1.1194,1.0969,1.0740,0.9575,1.0199,0.9859,0.9835,0.9225,0.8610
INT2020,1.0644,1.3793,1.1898,1.2821,0.9965,0.9887,1.2196,1.0657,1.0747,1.1690,0.9961,0.9983,0.9397,0.9357,0.9102,0.8824,0.8787,0.9372,1.0921
INT2021,0.6267,0.7486,0.6520,0.6150,0.6996,0.6753,0.6072,0.6695,0.7416,0.6906,0.7683,0.8953,0.9648,1.0252,1.1317,1.0721,1.1954,1.2828,1.3568
INT2022,0.7438,0.8404,1.0023,0.8810,0.9747,0.8397,0.8543,1.0382,0.7873,0.9329,0.9262,1.0354,1.1003,1.1169,1.0652,1.0915,1.0456,1.1020,0.9218
INT2023,0.9969,0.9811,0.9701,0.9885,0.9866,0.9837,0.9824,0.9827,0.9907,0.9884,0.9980,1.0071,1.0065,1.0074,0.9947,0.9892,0.9978,1.0147,1.0064
INT2024,0.9998,0.9788,0.9737,0.9871,0.9789,0.9846,0.9762,0.9817,0.9818,1.0020,1.0007,1.0105,1.0032,0.9967,0.9961,0.9892,0.9928,1.0378,1.0014
INT2025,0.9966,0.9788,0.9729,0.9821,0.9742,0.9959,0.9836,0.9853,0.9885,0.9935,1.0046,1.0005,1.0140,1.0051,0.9978,0.9899,0.9968,1.0189,1.0005
INT2026,1.0166,0.9829,0.9737,0.9795,0.9820,0.9778,0.9814,0.9865,0.9884,0.9961,0.9888,1.0027,1.0094,1.0018,1.0033,0.9902,0.9968,1.0299,0.9968
INT2027,0.9935,0.9810,0.9794,0.9753,0.9846,0.9797,0.9880,0.9872,0.9888,0.9989,0.9929,1.0010,1.0103,0.9998,0.9993,0.9915,1.0070,1.0273,1.0021
INT2028,0.9947,0.9814,0.9793,0.9785,0.9848,0.9834,0.9831,0.9837,0.9978,1.0046,0.9952,1.0005,1.0111,0.9992,0.9977,0.9924,1.0006,1.0262,1.0014
INT2029,1.0201,0.9809,0.9703,0.9707,0.9784,0.9839,0.9872,0.9923,0.9897,0.9940,0.9921,1.0000,1.0051,1.0017,1.0086,0.9915,1.0010,1.0270,1.0006
INT2030,0.9970,0.9813,0.9789,0.9790,0.9810,0.9814,0.9838,0.9869,0.9986,0.9942,1.0011,0.9988,1.0095,1.0023,1.0058,0.9930,1.0033,1.0246,1.0019
INT2031,0.9991,0.9893,0.9788,0.9751,0.9733,0.9788,0.9906,0.9781,1.0095,0.9990,1.0026,1.0004,1.0029,1.0032,1.0048,0.9939,1.0107,1.0140,1.0002
INT2032,1.0008,0.9899,0.9741,0.9770,0.9859,0.9824,0.9878,0.9882,0.9950,0.9912,1.0010,1.0032,1.0026,1.0086,1.0042,0.9969,1.0068,1.0085,1.0015
INT2033,0.9990,0.9856,0.9903,0.9949,0.9879,0.9967,0.9987,1.0038,0.9588,0.9932,0.9911,1.0170,1.0093,0.9928,0.9944,0.9923,0.9782,1.0388,1.0075
INT2034,1.0048,0.9881,0.9809,0.9690,0.9874,0.9828,0.9736,0.9791,0.9968,1.0022,1.0044,0.9982,1.0027,1.0059,1.0055,0.9976,1.0071,1.0138,1.0016
INT2035,0.9944,0.9895,0.9713,0.9797,0.9814,0.9821,0.9821,0.9820,0.9956,0.9954,0.9984,0.9999,1.0061,1.0107,1.0037,0.9934,1.0148,1.0062,1.0025
