,total,u26,26u35,35u45,45u55,55u60,60u65,65u75,75plus
total,278.703042,5.309371,34.159784,59.188194,83.441191,46.207387,33.676994,15.695667,1.024454
u5K,0.478089,0.012059,0.047544,0.074773,0.132622,0.082298,0.092831,0.054283,0.010275
5u10K,0.178824,0.047599,0.026935,0.020212,0.028388,0.012545,0.037434,0,0
10u15K,0.539772,0.102584,0.131933,0.067912,0.113098,0.022546,0.078814,0,0
15u20K,1.046799,0.273893,0.225613,0.127174,0.178289,0.077013,0.110243,0.048224,0.00635
20u25K,1.823679,0.374123,0.400223,0.292522,0.308996,0.204001,0.141356,0.093233,0.009225
25u30K,2.647398,0.358077,0.66435,0.445949,0.559817,0.315943,0.195316,0.102083,0.005863
30u40K,7.406004,0.815434,1.837734,1.366416,1.52118,0.83836,0.744901,0.246541,0.035437
40u50K,9.874368,0.720516,2.371364,1.995256,2.069157,1.299582,1.043114,0.367982,0.007397
50u75K,30.022837,1.430324,6.068365,5.90491,7.409728,4.167858,3.475949,1.507616,0.058087
75Ku0.1M,35.142003,0.585493,5.822904,6.905539,9.497808,5.807386,4.401892,2.006929,0.114052
0.1u0.2M,106.015275,0.487054,11.810097,22.813763,32.862289,18.636415,13.332217,5.753889,0.31955
0.2u0.5M,65.406377,0.082413,4.123928,15.437131,22.099152,11.379697,7.891691,4.086786,0.305579
0.5u1.0M,12.836215,0.009005,0.471986,2.826251,4.746643,2.308241,1.45507,0.933928,0.08509
1.0u1.5M,2.606714,0.004602,0.073418,0.497427,0.956201,0.514837,0.307912,0.22614,0.026178
1.5u2.0M,0.924354,0.001586,0.030333,0.158826,0.347234,0.176631,0.121266,0.077357,0.011121
2u5M,1.281005,0.00326,0.035886,0.198397,0.4558,0.26261,0.175757,0.130178,0.019117
5Mplus,0.297998,0.000958,0.010824,0.036668,0.101794,0.065051,0.043732,0.033255,0.005715
5u10M,0.17533,0.000392,0.006346,0.019067,0.052993,0.036374,0.027498,0.027243,0.005417
10u30M,0.0256,0.0003,0.0011,0.0029,0.0109,0.0046,0.0037,0.002,0.0001
